,UID,Month,Date,Grs Oil,Grs Gas,Net Oil,Net Gas,Net NGL,Oil Revenue,Gas Revenue,NGL Revenue,Total Revenue,Total Tax,OPEX,Operating Income,Cumulative Op CF,Net Cashflow,Cumulative Net CF
45,3501123860.0,45.0,2025-06-01,114.6782,16262.4155,1.5175220564686,215.19847898473148,0.0,80.2,783.5,0.0,863.7,68.66414999999999,0.0,795.0358500000001,57596.430605000016,795.0358500000001,57596.430605000016
46,3501123860.0,46.0,2025-07-01,113.2876,16083.0597,1.4991204232747999,212.82508646151808,0.0,79.23,774.85,0.0,854.08,67.89936,0.0,786.18064,58382.611245000015,786.18064,58382.611245000015
47,3501123860.0,47.0,2025-08-01,111.9305,15907.8081,1.4811620913264998,210.5060042956713,0.0,78.28,766.41,0.0,844.6899999999999,67.152855,0.0,777.5371449999999,59160.14839000002,777.5371449999999,59160.14839000002
48,3501123860.0,48.0,2025-09-01,110.6056,15736.5194,1.4636298578887998,208.23936268223616,0.0,77.35,758.16,0.0,835.51,66.423045,0.0,769.086955,59929.235345000016,769.086955,59929.235345000016
49,3501123860.0,49.0,2025-10-01,109.312,15569.0585,1.4465118133759998,206.02337386007048,0.0,76.45,750.09,0.0,826.5400000000001,65.70993,0.0,760.8300700000001,60690.06541500002,760.8300700000001,60690.06541500002
50,3501123860.0,50.0,2025-11-01,108.0483,15405.2967,1.4297894317659,203.8563347584191,0.0,75.57,742.2,0.0,817.77,65.012715,0.0,752.757285,61442.82270000002,752.757285,61442.82270000002
51,3501123860.0,51.0,2025-12-01,106.8137,15245.1108,1.4134521267601,201.7366150873284,0.0,74.7,734.48,0.0,809.1800000000001,64.32981,0.0,744.8501900000001,62187.672890000016,744.8501900000001,62187.672890000016
52,3501123860.0,52.0,2026-01-01,105.6072,15088.3832,1.3974866654856,199.6626586609336,0.0,73.86,727.51,0.0,801.37,63.708915000000005,0.0,737.661085,62925.333975000016,737.661085,62925.333975000016
53,3501123860.0,53.0,2026-02-01,104.4277,14935.0014,1.3818784917820999,197.63297678102217,0.0,73.03,720.11,0.0,793.14,63.05463,0.0,730.08537,63655.41934500002,730.08537,63655.41934500002
54,3501123860.0,54.0,2026-03-01,103.2744,14784.8578,1.3666170193512,195.64614559045938,0.0,72.23,712.87,0.0,785.1,62.41545000000001,0.0,722.6845500000001,64378.103895000015,722.6845500000001,64378.103895000015
55,3501123860.0,55.0,2026-04-01,102.1464,14637.8493,1.3516903386072,193.7008007800389,0.0,71.44,705.79,0.0,777.23,61.789784999999995,0.0,715.4402150000001,65093.54411000002,715.4402150000001,65093.54411000002
56,3501123860.0,56.0,2026-05-01,101.0429,14493.8773,1.3370878632517,191.7956375884829,0.0,70.67,698.84,0.0,769.51,61.176045,0.0,708.333955,65801.87806500001,708.333955,65801.87806500001
57,3501123860.0,57.0,2026-06-01,99.9631,14352.8472,1.3227990069862998,189.9294041860056,0.0,69.91,692.04,0.0,761.9499999999999,60.575025,0.0,701.374975,66503.25304000001,701.374975,66503.25304000001
58,3501123860.0,58.0,2026-07-01,98.9063,14214.6684,1.3088145067999,188.1009016743132,0.0,69.17,685.38,0.0,754.55,59.986725,0.0,694.563275,67197.816315,694.563275,67197.816315
59,3501123860.0,59.0,2026-08-01,97.8717,14079.2539,1.2951237763941,186.30897879345468,0.0,68.45,678.85,0.0,747.3000000000001,59.41035,0.0,687.8896500000001,67885.705965,687.8896500000001,67885.705965
0,81244.0,0.0,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,81244.0,1.0,2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,81244.0,2.0,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,81244.0,3.0,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,81244.0,4.0,2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,81244.0,5.0,2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,81244.0,6.0,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,81244.0,7.0,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,81244.0,8.0,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,81244.0,9.0,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
